Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Grade Band,1,,Primary School (Grades K-2),,2023-08-15T17:45:49+00:00
,1.1,,Social Studies Indicators Grades K-2,KG-02,2023-08-15T17:45:44+00:00
Strand,1.1.1,,K-2 Social Studies Indicators,KG-02,2023-08-15T17:43:47+00:00
Indicator,1.1.1.1,,Develop questions through investigations.,KG-02,2023-08-15T17:43:47+00:00
Indicator,1.1.1.2,,Apply disciplinary concepts and tools.,KG-02,2023-08-15T17:43:47+00:00
Indicator,1.1.1.3,,Evaluate sources and use evidence.,KG-02,2023-08-15T17:43:47+00:00
Indicator,1.1.1.4,,Communicate conclusions and task informed action.,KG-02,2023-08-15T17:43:47+00:00
Strand,1.1.2,,Civics,KG-02,2023-08-15T17:43:47+00:00
Component,1.1.2.1,,Describe the roles and responsibilities of people in authority.,KG-02,2023-08-15T17:43:47+00:00
Component,1.1.2.2,,Explain what roles people play in a community.,KG-02,2023-08-15T17:43:47+00:00
Component,1.1.2.3,,Explain the need for rules in various settings inside and outside of school.,KG-02,2023-08-15T17:43:47+00:00
Component,1.1.2.4,,"Describe democratic principles such as equality, fairness, and respect.",KG-02,2023-08-15T17:43:47+00:00
Component,1.1.2.5,,Explain how people can work together to make decisions.,KG-02,2023-08-15T17:43:47+00:00
Component,1.1.2.6,,Describe how people try to improve their communities.,KG-02,2023-08-15T17:43:47+00:00
Strand,1.1.3,,Geography,KG-02,2023-08-15T17:43:47+00:00
Component,1.1.3.1,,"Construct maps, graphs, and other representations of familiar places.",KG-02,2023-08-15T17:43:47+00:00
Component,1.1.3.2,,"Use maps, graphs, photographs, and other representations to describe places.",KG-02,2023-08-15T17:43:47+00:00
Component,1.1.3.3,,"Use maps, globes, and other simple geographic models to identify cultural and environmental characteristics of places.",KG-02,2023-08-15T17:43:47+00:00
Component,1.1.3.4,,"Explain how weather, climate, and other environmental characteristics affect people's lives in a place or region.",KG-02,2023-08-15T17:43:47+00:00
Component,1.1.3.5,,Describe the connections between the physical environment of a place and the economic activities found there.,KG-02,2023-08-15T17:43:47+00:00
Strand,1.1.4,,Economics,KG-02,2023-08-15T17:43:47+00:00
Component,1.1.4.1,,Describe the goods and services that people in the local community produce and those that are produced in other communities.,KG-02,2023-08-15T17:43:47+00:00
Component,1.1.4.2,,Explain how people earn income.,KG-02,2023-08-15T17:43:47+00:00
Component,1.1.4.3,,Describe the roles banks play.,KG-02,2023-08-15T17:43:47+00:00
Component,1.1.4.4,,Explain why people save.,KG-02,2023-08-15T17:43:47+00:00
Component,1.1.4.5,,Describe examples of goods and services.,KG-02,2023-08-15T17:43:47+00:00
Component,1.1.4.6,,Describe why people in one country trade goods and services with people in other countries.,KG-02,2023-08-15T17:43:47+00:00
Strand,1.1.5,,History,KG-02,2023-08-15T17:43:47+00:00
Component,1.1.5.1,,Create a chronological sequence of multiple events.,KG-02,2023-08-15T17:43:47+00:00
Component,1.1.5.2,,Generate questions about individuals and groups who have shaped a significant historical change.,KG-02,2023-08-15T17:43:47+00:00
Component,1.1.5.3,,Compare the past to the present.,KG-02,2023-08-15T17:43:47+00:00
Component,1.1.5.4,,Explain how historical sources can be used to study the past.,KG-02,2023-08-15T17:43:47+00:00
Course,1.2,,Kindergarten,KG,2023-08-15T17:43:56+00:00
Strand,1.2.1,,Civics,KG,2023-08-15T17:43:56+00:00
Standard,1.2.1.1,SS.K.1,"Develop an understanding of citizenship and patriotism through a variety of experiences (e.g., appropriate behavior, sharing, taking turns, volunteering, being honest and demonstrating responsibility for materials and personal belongings).",KG,2023-08-15T17:43:56+00:00
Standard,1.2.1.2,SS.K.2,"Participate in role play to resolve disputes, and demonstrate tolerance and acceptance of others and their ideas.",KG,2023-08-15T17:43:56+00:00
Standard,1.2.1.3,SS.K.3,"Investigate the need for rules in their environment, create a set of classroom rules, and explore the consequences for not following the rules.",KG,2023-08-15T17:43:56+00:00
Standard,1.2.1.4,SS.K.4,"Investigate the leadership roles within their families, classrooms and schools and demonstrate their understanding through activities such as role play and classroom jobs.",KG,2023-08-15T17:43:56+00:00
Strand,1.2.2,,Economics,KG,2023-08-15T17:43:56+00:00
Standard,1.2.2.1,SS.K.5,Investigate occupations within the school and local community.,KG,2023-08-15T17:43:56+00:00
Standard,1.2.2.2,SS.K.6,"Discover the basic needs of people (e.g., shelter, food, clothing, etc.) and give examples of each.",KG,2023-08-15T17:43:56+00:00
Standard,1.2.2.3,SS.K.7,"Investigate the exchange of goods and services (e.g., money, bartering, trading, etc.).",KG,2023-08-15T17:43:56+00:00
Standard,1.2.2.4,SS.K.8,Distinguish between wants and needs.,KG,2023-08-15T17:43:56+00:00
Strand,1.2.3,,Geography,KG,2023-08-15T17:43:56+00:00
Standard,1.2.3.1,SS.K.9,"Construct a simple map of a familiar area (e.g., classroom, school, home, etc.).",KG,2023-08-15T17:43:56+00:00
Standard,1.2.3.2,SS.K.10,"Identify the difference between bodies of water and land masses on maps and globes, and demonstrate directions (e.g., left/right, up/down, near/far and above/under).",KG,2023-08-15T17:43:56+00:00
Standard,1.2.3.3,SS.K.11,Compare and contrast the ways humans adapt based on seasons and weather.,KG,2023-08-15T17:43:56+00:00
Standard,1.2.3.4,SS.K.12,Explore similarities and differences of life in the city (urban) and the country (rural).,KG,2023-08-15T17:43:56+00:00
Standard,1.2.3.5,SS.K.13,"Investigate the need for symbols in daily life (e.g., exit, stop sign, bathroom signs, school zone, stop light, etc.).",KG,2023-08-15T17:43:56+00:00
Strand,1.2.4,,History,KG,2023-08-15T17:43:56+00:00
Standard,1.2.4.1,SS.K.14,"Illustrate personal history (e.g., first and last name, birthday, age, guardian's name, and other personal data).",KG,2023-08-15T17:43:56+00:00
Standard,1.2.4.2,SS.K.15,"Explore the history of the school and give examples of significant sites and people (e.g., principals, secretaries, teachers, custodians, etc.).",KG,2023-08-15T17:43:56+00:00
Standard,1.2.4.3,SS.K.16,"Investigate the past and explore the differences in other people, times and cultures through stories of people, heroes, pictures, songs, holidays, customs, traditions or legends.",KG,2023-08-15T17:43:56+00:00
Standard,1.2.4.4,SS.K.17,"Explore time, places, people and events in relationship to student's own life (e.g., family trees, pictures, stories, etc.).",KG,2023-08-15T17:43:56+00:00
Strand,1.2.5,,WV History,KG,2023-08-15T17:43:56+00:00
Standard,1.2.5.1,SS.K.18,"Investigate state symbols, celebrations, holidays and prominent West Virginians.",KG,2023-08-15T17:43:56+00:00
Standard,1.2.5.2,SS.K.19,Identify the shape of West Virginia.,KG,2023-08-15T17:43:56+00:00
Standard,1.2.5.3,SS.K.20,Track the weather to illustrate West Virginia's climate.,KG,2023-08-15T17:43:56+00:00
Standard,1.2.5.4,SS.K.21,Recognize local community names.,KG,2023-08-15T17:43:56+00:00
Standard,1.2.5.5,SS.K.22,Compare and contrast past and present lifestyles of West Virginians.,KG,2023-08-15T17:43:56+00:00
Course,1.3,,First Grade,01,2023-08-15T17:44:03+00:00
Strand,1.3.1,,Civics,01,2023-08-15T17:44:03+00:00
Standard,1.3.1.1,SS.1.1,"Model patriotism, cooperation, tolerance and respect for others within the school and community.",01,2023-08-15T17:44:03+00:00
Standard,1.3.1.2,SS.1.2,"Create scenarios and role play reflecting the use of rules and laws, their consequences and their value within the school and community.",01,2023-08-15T17:44:03+00:00
Standard,1.3.1.3,SS.1.3,"Investigate the symbols, icons and traditions ofthe United States that provide a sense of community across time (e.g., Labor Day, Veterans Day, Memorial Day, Pledge of Allegiance, patriotic songs, landmarks, art and literature that demonstrate community traditions, etc.).",01,2023-08-15T17:44:03+00:00
Standard,1.3.1.4,SS.1.4,Apply the process of how leaders are selected and analyze how they influence decisions made in the school and community.,01,2023-08-15T17:44:03+00:00
Standard,1.3.1.5,SS.1.5,"Collaborate to identify a community need, propose a variety of solutions and investigate how individuals could participate to solve the problem.",01,2023-08-15T17:44:03+00:00
Strand,1.3.2,,Economics,01,2023-08-15T17:44:03+00:00
Standard,1.3.2.1,SS.1.6,Compare and contrast occupations within the community.,01,2023-08-15T17:44:03+00:00
Standard,1.3.2.2,SS.1.7,Distinguish between personal needs and wants and the consequences of personal choices.,01,2023-08-15T17:44:03+00:00
Standard,1.3.2.3,SS.1.8,Demonstrate the exchange of goods and services.,01,2023-08-15T17:44:03+00:00
Standard,1.3.2.4,SS.1.9,"Explain how individuals and families earn, spend and save money.",01,2023-08-15T17:44:03+00:00
Strand,1.3.3,,Geography,01,2023-08-15T17:44:03+00:00
Standard,1.3.3.1,SS.1.10,"Reflect an understanding of cardinal directions, map symbols in a legend, geographic landforms (e.g., mountains, lakes, rivers), and location by interpreting simple maps.",01,2023-08-15T17:44:03+00:00
Standard,1.3.3.2,SS.1.11,"Describe how climate and location affect the way people live, work and play.",01,2023-08-15T17:44:03+00:00
Standard,1.3.3.3,SS.1.12,Give examples of natural resources and their uses.,01,2023-08-15T17:44:03+00:00
Standard,1.3.3.4,SS.1.13,"Sequence the seasons ofthe year, months and days of the week.",01,2023-08-15T17:44:03+00:00
Standard,1.3.3.5,SS.1.14,"Utilize appropriate maps, globes and geographic information systems.",01,2023-08-15T17:44:03+00:00
Standard,1.3.3.6,SS.1.15,"Locate and identify the following on a map:
* West Virginia
* United States
* Geographic features (e.g., mountains, bodies of water, etc.)",01,2023-08-15T17:44:03+00:00
Strand,1.3.4,,History,01,2023-08-15T17:44:03+00:00
Standard,1.3.4.1,SS.1.18,Utilize primary source documents and oral accounts to investigate ways communities change throughout history.,01,2023-08-15T17:44:03+00:00
Standard,1.3.4.2,SS.1.19,"Examine cultural contributions of families through the use of literature, primary source documents and oral accounts.",01,2023-08-15T17:44:03+00:00
Standard,1.3.4.3,SS.1.20,Explore the history of the community and give examples of locally significant sites and people.,01,2023-08-15T17:44:03+00:00
Standard,1.3.4.4,SS.1.21,Illustrate personal history by creating a timeline.,01,2023-08-15T17:44:03+00:00
Strand,1.3.5,,WV History,01,2023-08-15T17:44:03+00:00
Standard,1.3.5.1,SS.1.22,Recognize and recite the state motto.,01,2023-08-15T17:44:03+00:00
Standard,1.3.5.2,SS.1.23,Investigate the common occupations of people in West Virginia.,01,2023-08-15T17:44:03+00:00
Standard,1.3.5.3,SS.1.24,Locate students' hometown and county on a West Virginia map.,01,2023-08-15T17:44:03+00:00
Standard,1.3.5.4,SS.1.25,"Describe the cultural life of West Virginia as reflected in games, toys and various art forms.",01,2023-08-15T17:44:03+00:00
Course,1.4,,Second Grade,02,2023-08-15T17:44:12+00:00
Strand,1.4.1,,Civics,02,2023-08-15T17:44:12+00:00
Standard,1.4.1.1,SS.2.1,Analyze examples ofthe fairness of rules and laws and evaluate their consequences.,02,2023-08-15T17:44:12+00:00
Standard,1.4.1.2,SS.2.2,"Illustrate the levels of government (local, state and national) and actively discuss the characteristics of effective leadership.",02,2023-08-15T17:44:12+00:00
Standard,1.4.1.3,SS.2.3,"Create a product (e.g., play, multimedia or poster) to demonstrate an understanding of the diversity in American culture.",02,2023-08-15T17:44:12+00:00
Standard,1.4.1.4,SS.2.4,"Give examples of symbols, icons and traditions of the United States, recite the Pledge of Allegiance, and participate in national patriotic celebrations (e.g., Martin Luther King Day, Presidents Day and Flag Day) and community service projects.",02,2023-08-15T17:44:12+00:00
Strand,1.4.2,,Economics,02,2023-08-15T17:44:12+00:00
Standard,1.4.2.1,SS.2.5,Investigate various occupations and career opportunities and how they have changed within the state and nation.,02,2023-08-15T17:44:12+00:00
Standard,1.4.2.2,SS.2.6,"Consider and categorize needs and wants in a graph, chart or table to evaluate consequences of one choice over another.",02,2023-08-15T17:44:12+00:00
Standard,1.4.2.3,SS.2.7,"Design a system that reflects the understanding of the exchange of goods and services (e.g., trading cards and classroom store).",02,2023-08-15T17:44:12+00:00
Standard,1.4.2.4,SS.2.8,Explain the role of banks in saving for future purchases and create a graph reflecting savings over time.,02,2023-08-15T17:44:12+00:00
Strand,1.4.3,,Geography,02,2023-08-15T17:44:12+00:00
Standard,1.4.3.1,SS.2.9,"Utilize a legend, compass rose and cardinal directions to identify locations (e.g., Charleston, West Virginia, New York, District of Columbia, etc.) and geographic features (e.g., Great Lakes, Rocky Mountains, Mississippi River, etc.) in the United States.",02,2023-08-15T17:44:12+00:00
Standard,1.4.3.2,SS.2.10,Identify the continents and oceans on a map and globe.,02,2023-08-15T17:44:12+00:00
Standard,1.4.3.3,SS.2.11,"Summarize how climate, location and physical surroundings have caused changes in the community and state overtime.",02,2023-08-15T17:44:12+00:00
